>Feature	Ctg44_length_309375			
			locus_tag	LWC14_00085
203541	208511	CDS		
			product	cytochrome c oxidase assembly protein, putative
188681	191026	gene		
			locus_tag	LWC14_00086
188681	191026	CDS		
			product	General negative regulator of transcription subunit 5
>Feature	Ctg17_length_605537			
498201	498677	gene		
			locus_tag	LWC14_00087
498677	498201	CDS		
			product	chrXI additional, unordered contigs
46740	47762	gene		
			locus_tag	LWC14_00088
46740	47762	CDS		
			product	hypothetical protein, conserved
230811	232310	gene		
			locus_tag	LWC14_00089
230811	232310	CDS		
			product	hypothetical protein, conserved
115356	116804	gene		
			locus_tag	LWC14_00090
115356	116804	CDS		
			product	Kinesin-13 6, putative
436463	437377	gene		
			locus_tag	LWC14_00091
437377	436463	CDS		
			product	hypothetical protein, conserved
332339	334108	gene		
			locus_tag	LWC14_00092
334108	332339	CDS		
			product	FHA domain containing protein, putative
370433	372352	gene		
			locus_tag	LWC14_00093
372352	370433	CDS		
			product	GRIP domain containing protein, putative
334661	334957	gene		
			locus_tag	LWC14_00094
334957	334661	CDS		
			product	hypothetical protein, conserved
132546	137510	gene		
			locus_tag	LWC14_00095
132546	137510	CDS		
			product	AMP deaminase, putative
477953	479446	gene		
			locus_tag	LWC14_00096
479446	477953	CDS		
			product	serine-palmitoyl-CoA transferase, putative
17452	19116	gene		
			locus_tag	LWC14_00097
17452	19116	CDS		
			product	predicted zinc finger protein
54658	62958	gene		
			locus_tag	LWC14_00098
54658	62958	CDS		
			product	DNA polymerase epsilon catalytic subunit, putative
96771	98621	gene		
			locus_tag	LWC14_00099
96771	98621	CDS		
			product	60Kd inner membrane protein, putative
105440	107128	gene		
			locus_tag	LWC14_00100
105440	107128	CDS		
			product	kinetoplastid-specific dual specificity phosphatase, putative
459533	460756	gene		
			locus_tag	LWC14_00101
460756	459533	CDS		
			product	TPR repeat, putative
147392	148138	gene		
			locus_tag	LWC14_00102
147392	148138	CDS		
			product	proteasome alpha 1 subunit, putative
142891	144396	gene		
			locus_tag	LWC14_00103
142891	144396	CDS		
			product	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit, putative
63596	63937	gene		
			locus_tag	LWC14_00104
63596	63937	CDS		
			product	Zinc-binding domain containing protein, putative
524580	527861	gene		
			locus_tag	LWC14_00105
527861	524580	CDS		
			product	peroxisome biogenesis factor 1, putative
176759	177925	gene		
			locus_tag	LWC14_00106
176759	177925	CDS		
			product	ribonucleoside-diphosphate reductase small chain
161442	162128	gene		
			locus_tag	LWC14_00107
161442	162128	CDS		
			product	hypothetical protein, conserved
9153	9479	gene		
			locus_tag	LWC14_00108
9153	9479	CDS		
			product	hypothetical protein
508508	511096	gene		
			locus_tag	LWC14_00109
511096	508508	CDS		
			product	hypothetical protein, conserved
408180	409853	gene		
			locus_tag	LWC14_00110
409853	408180	CDS		
			product	hypothetical protein
167456	168880	gene		
			locus_tag	LWC14_00111
167456	168880	CDS		
			product	NEK family Serine/threonine-protein kinase, putative
298036	298392	gene		
			locus_tag	LWC14_00112
298392	298036	CDS		
			product	hypothetical protein, conserved
581738	582379	gene		
			locus_tag	LWC14_00113
582379	581738	CDS		
			product	Mitoribosomal SSU assembly factor 33
256432	257214	gene		
			locus_tag	LWC14_00114
256432	257214	CDS		
			product	tRNA (guanine-N(7)-)-methyltransferase, putative
254447	256054	gene		
			locus_tag	LWC14_00115
254447	256054	CDS		
			product	Mitoribosomal LSU assembly factor 13
197614	200268	gene		
			locus_tag	LWC14_00116
197614	200268	CDS		
			product	Mitoribosomal SSU assembly factor 3
465576	467474	gene		
			locus_tag	LWC14_00117
467474	465576	CDS		
			product	hypothetical protein
75936	76814	gene		
			locus_tag	LWC14_00118
75936	76814	CDS		
			product	hypothetical protein
563505	566717	gene		
			locus_tag	LWC14_00119
566717	563505	CDS		
			product	hypothetical protein
517743	519272	gene		
			locus_tag	LWC14_00120
519272	517743	CDS		
			product	Programmed cell death protein 2, C-terminal putative domain containing protein, putative
188090	188983	gene		
			locus_tag	LWC14_00121
188090	188983	CDS		
			product	hypothetical protein
195149	196318	gene		
			locus_tag	LWC14_00122
195149	196318	CDS		
			product	MAPK/MAK/MRK overlapping kinase, putative
157761	158867	gene		
			locus_tag	LWC14_00123
157761	158867	CDS		
			product	meiotic recombination protein DMC1, putative
294204	295484	gene		
			locus_tag	LWC14_00124
295484	294204	CDS		
			product	hypothetical protein
238214	239548	gene		
			locus_tag	LWC14_00125
238214	239548	CDS		
			product	hypothetical protein
149432	150478	gene		
			locus_tag	LWC14_00126
149432	150478	CDS		
			product	Mitochondrial import receptor subunit ATOM40
227564	229540	gene		
			locus_tag	LWC14_00127
227564	229540	CDS		
			product	hypothetical protein, conserved
505744	507987	gene		
			locus_tag	LWC14_00128
507987	505744	CDS		
			product	phosphatidylinositol 4-kinase, putative
144959	145867	gene		
			locus_tag	LWC14_00129
144959	145867	CDS		
			product	hypothetical protein
423752	425650	gene		
			locus_tag	LWC14_00130
425650	423752	CDS		
			product	expression site-associated gene 5 (ESAG5) protein, putative
343983	344381	gene		
			locus_tag	LWC14_00131
344381	343983	CDS		
			product	Zinc knuckle, putative
108049	109941	gene		
			locus_tag	LWC14_00132
108049	109941	CDS		
			product	Small nuclear RNA gene activation protein (SNAP) 50
192767	193960	gene		
			locus_tag	LWC14_00133
192767	193960	CDS		
			product	sphingomyelin/ceramide phosphorylethanolamine synthase, bifunctional
327467	328741	gene		
			locus_tag	LWC14_00134
328741	327467	CDS		
			product	predicted ankyrin repeat family protein
278714	280036	gene		
			locus_tag	LWC14_00135
278714	280036	CDS		
			product	amino acid transporter, putative
458152	458937	gene		
			locus_tag	LWC14_00136
458937	458152	CDS		
			product	hypothetical protein, conserved
406557	406826	gene		
			locus_tag	LWC14_00137
406826	406557	CDS		
			product	hypothetical protein
280918	282183	gene		
			locus_tag	LWC14_00138
280918	282183	CDS		
			product	L-Lysine transport protein, putative
461306	461914	gene		
			locus_tag	LWC14_00139
461914	461306	CDS		
			product	Mitochondrial ribosomal protein L14
233075	237346	gene		
			locus_tag	LWC14_00140
233075	237346	CDS		
			product	Serine/threonine-protein kinase NEK16, putative
26723	28297	gene		
			locus_tag	LWC14_00141
26723	28297	CDS		
			product	hypothetical protein
554366	556870	gene		
			locus_tag	LWC14_00142
556870	554366	CDS		
			product	glyoxalase II
326079	326795	gene		
			locus_tag	LWC14_00143
326795	326079	CDS		
			product	snoRNP protein GAR1, putative
360230	361873	gene		
			locus_tag	LWC14_00144
361873	360230	CDS		
			product	Replication factor-A C terminal domain containing protein, putative
317493	317828	gene		
			locus_tag	LWC14_00145
317828	317493	CDS		
			product	NADH:ubiquinone oxidoreductase, ESSS subunit, putative
319642	323649	gene		
			locus_tag	LWC14_00146
323649	319642	CDS		
			product	coatomer alpha subunit, putative
122248	122661	gene		
			locus_tag	LWC14_00147
122248	122661	CDS		
			product	lipoic acid containing carrier protein, putative
296313	297311	gene		
			locus_tag	LWC14_00148
297311	296313	CDS		
			product	WD domain, G-beta repeat, putative
202696	204981	gene		
			locus_tag	LWC14_00149
202696	204981	CDS		
			product	hypothetical protein
70979	72577	gene		
			locus_tag	LWC14_00150
70979	72577	CDS		
			product	Polyamine transporter 1, putative
462440	463027	gene		
			locus_tag	LWC14_00151
463027	462440	CDS		
			product	hypothetical protein, conserved
545451	547604	gene		
			locus_tag	LWC14_00152
547604	545451	CDS		
			product	DNA topoisomerase IB, large subunit
407586	407867	gene		
			locus_tag	LWC14_00153
407867	407586	CDS		
			product	hypothetical protein
399758	405685	gene		
			locus_tag	LWC14_00154
405685	399758	CDS		
			product	ubiquitin-protein ligase, putative
48532	53550	gene		
			locus_tag	LWC14_00155
48532	53550	CDS		
			product	hypothetical protein, conserved
302763	304040	gene		
			locus_tag	LWC14_00156
304040	302763	CDS		
			product	CAF 40
67016	68173	gene		
			locus_tag	LWC14_00157
67016	68173	CDS		
			product	TAX-1
113477	114448	gene		
			locus_tag	LWC14_00158
113477	114448	CDS		
			product	parkin coregulated gene protein
159711	160817	gene		
			locus_tag	LWC14_00159
159711	160817	CDS		
			product	hypothetical protein
372920	373681	gene		
			locus_tag	LWC14_00160
373681	372920	CDS		
			product	chaperone protein DnaJ, putative
249242	249796	gene		
			locus_tag	LWC14_00161
249242	249796	CDS		
			product	hypothetical protein
22148	24382	gene		
			locus_tag	LWC14_00162
22148	24382	CDS		
			product	Spindle assembly abnormal protein 6 homolog
218859	219452	gene		
			locus_tag	LWC14_00163
218859	219452	CDS		
			product	hypothetical protein, conserved
386124	387644	gene		
			locus_tag	LWC14_00164
387644	386124	CDS		
			product	hypothetical protein, conserved
492184	494013	gene		
			locus_tag	LWC14_00165
494013	492184	CDS		
			product	V-type ATPase, A subunit, putative
162842	165274	gene		
			locus_tag	LWC14_00166
162842	165274	CDS		
			product	DNA replication licensing factor MCM9, putative
38327	40153	gene		
			locus_tag	LWC14_00167
38327	40153	CDS		
			product	HAD hydrolase, TIGR01456 family/HAD hydrolase, family IIA, putative
568003	568911	gene		
			locus_tag	LWC14_00168
568911	568003	CDS		
			product	Glucose-6-phosphate 1-epimerase, putative
495616	497526	gene		
			locus_tag	LWC14_00169
497526	495616	CDS		
			product	endosomal integral membrane protein, putative
579227	581362	gene		
			locus_tag	LWC14_00170
581362	579227	CDS		
			product	Zn-finger in ubiquitin-hydrolases and other protein, putative
411541	413184	gene		
			locus_tag	LWC14_00171
413184	411541	CDS		
			product	hypothetical protein
367213	368115	gene		
			locus_tag	LWC14_00172
368115	367213	CDS		
			product	Alpha/beta hydrolase family, putative
395531	395971	gene		
			locus_tag	LWC14_00173
395971	395531	CDS		
			product	50S ribosomal protein L7Ae, putative
485417	489820	gene		
			locus_tag	LWC14_00174
489820	485417	CDS		
			product	hypothetical protein, conserved
271608	274034	gene		
			locus_tag	LWC14_00175
271608	274034	CDS		
			product	SAC3/GANP/Nin1/mts3/eIF-3 p25 family, putative
223478	226930	gene		
			locus_tag	LWC14_00176
223478	226930	CDS		
			product	RNA pseudouridylate synthase, putative
575298	577418	gene		
			locus_tag	LWC14_00177
577418	575298	CDS		
			product	hypothetical protein, conserved
577771	578616	gene		
			locus_tag	LWC14_00178
578616	577771	CDS		
			product	probable rRNA maturation factor YbeY, putative
222633	222881	gene		
			locus_tag	LWC14_00179
222633	222881	CDS		
			product	60S ribosomal protein L37, putative
315772	316431	gene		
			locus_tag	LWC14_00180
316431	315772	CDS		
			product	proteasome beta 7 subunit
414102	422861	gene		
			locus_tag	LWC14_00181
422861	414102	CDS		
			product	target of rapamycin kinase 3, putative
532111	533538	gene		
			locus_tag	LWC14_00182
533538	532111	CDS		
			product	Tetratricopeptide repeat, putative
392816	394696	gene		
			locus_tag	LWC14_00183
394696	392816	CDS		
			product	Peptidase family C78, putative
13997	16993	gene		
			locus_tag	LWC14_00184
13997	16993	CDS		
			product	synaptojanin (N-terminal domain), putative
293003	293848	gene		
			locus_tag	LWC14_00185
293848	293003	CDS		
			product	1,2-Dihydroxy-3-keto-5-methylthiopentene dioxygenase, putative
69211	69837	gene		
			locus_tag	LWC14_00186
69211	69837	CDS		
			product	Snf7, putative
104502	104852	gene		
			locus_tag	LWC14_00187
104502	104852	CDS		
			product	hypothetical protein, conserved
336823	338718	gene		
			locus_tag	LWC14_00188
338718	336823	CDS		
			product	hypothetical protein, conserved
536801	537880	gene		
			locus_tag	LWC14_00189
537880	536801	CDS		
			product	amidinotransferase, putative
324151	324990	gene		
			locus_tag	LWC14_00190
324990	324151	CDS		
			product	palmitoyl acyltransferase 9, putative
339616	340542	gene		
			locus_tag	LWC14_00191
340542	339616	CDS		
			product	protein phosphatase 2A, putative
40687	42423	gene		
			locus_tag	LWC14_00192
40687	42423	CDS		
			product	hypothetical protein
571484	573931	gene		
			locus_tag	LWC14_00193
573931	571484	CDS		
			product	vacuolar transport protein 4A, putative
389494	390789	gene		
			locus_tag	LWC14_00194
390789	389494	CDS		
			product	hypothetical protein, conserved
285541	286134	gene		
			locus_tag	LWC14_00195
286134	285541	CDS		
			product	hypothetical protein
541522	544458	gene		
			locus_tag	LWC14_00196
544458	541522	CDS		
			product	hypothetical protein, conserved
534139	534981	gene		
			locus_tag	LWC14_00197
534981	534139	CDS		
			product	hypothetical protein, conserved
374433	376655	gene		
			locus_tag	LWC14_00198
376655	374433	CDS		
			product	hypothetical protein, conserved
467818	468957	gene		
			locus_tag	LWC14_00199
468957	467818	CDS		
			product	hypothetical protein, conserved
191814	191969	gene		
			locus_tag	LWC14_00200
191814	191969	CDS		
			product	hypothetical protein
499698	501350	gene		
			locus_tag	LWC14_00201
501350	499698	CDS		
			product	hypothetical protein, conserved
574334	574918	gene		
			locus_tag	LWC14_00202
574918	574334	CDS		
			product	hypothetical protein, conserved
490373	490984	gene		
			locus_tag	LWC14_00203
490984	490373	CDS		
			product	Mitochondrial ribosomal protein L13
219892	222051	gene		
			locus_tag	LWC14_00204
219892	222051	CDS		
			product	ribonuclease P
267064	268614	gene		
			locus_tag	LWC14_00205
267064	268614	CDS		
			product	hypothetical protein, conserved
538319	539956	gene		
			locus_tag	LWC14_00206
539956	538319	CDS		
			product	ZFP family member, putative
174804	175421	gene		
			locus_tag	LWC14_00207
174804	175421	CDS		
			product	EnigmRBP2
269463	270584	gene		
			locus_tag	LWC14_00208
269463	270584	CDS		
			product	ribosome-interacting GTPase 2, putative
110440	111465	gene		
			locus_tag	LWC14_00209
110440	111465	CDS		
			product	katanin P80 subunit, putative
431852	433315	gene		
			locus_tag	LWC14_00210
433315	431852	CDS		
			product	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase, putative
29223	30698	gene		
			locus_tag	LWC14_00211
29223	30698	CDS		
			product	hypothetical protein
463496	464962	gene		
			locus_tag	LWC14_00212
464962	463496	CDS		
			product	hypothetical protein, conserved
299533	301116	gene		
			locus_tag	LWC14_00213
301116	299533	CDS		
			product	Double RNA binding domain protein 7
102330	103991	gene		
			locus_tag	LWC14_00214
102330	103991	CDS		
			product	chaperone protein DnaJ, putative
329541	331772	gene		
			locus_tag	LWC14_00215
331772	329541	CDS		
			product	hypothetical protein, conserved
239913	240653	gene		
			locus_tag	LWC14_00216
239913	240653	CDS		
			product	Zeta toxin, putative
470571	472088	gene		
			locus_tag	LWC14_00217
472088	470571	CDS		
			product	actin, putative
19852	20361	gene		
			locus_tag	LWC14_00218
19852	20361	CDS		
			product	Archaic Translocase of outer membrane 19 kDa subunit
397158	398966	gene		
			locus_tag	LWC14_00219
398966	397158	CDS		
			product	AP-1 adapter complex gamma subunit, putative
550945	553386	gene		
			locus_tag	LWC14_00220
553386	550945	CDS		
			product	Cleavage and polyadenylation specificity factor subunit
170715	173960	gene		
			locus_tag	LWC14_00221
170715	173960	CDS		
			product	tubulin tyrosine ligase protein, putative
304767	305075	gene		
			locus_tag	LWC14_00222
305075	304767	CDS		
			product	13 kDa deflagellation-inducible protein, putative
118103	120952	gene		
			locus_tag	LWC14_00223
118103	120952	CDS		
			product	170 kDa glucose-regulated protein, putative
601235	603931	gene		
			locus_tag	LWC14_00224
603931	601235	CDS		
			product	hypothetical protein, conserved
341304	343403	gene		
			locus_tag	LWC14_00225
343403	341304	CDS		
			product	hypothetical protein, conserved
265139	265708	gene		
			locus_tag	LWC14_00226
265139	265708	CDS		
			product	Lsm12 protein, putative
190193	191317	gene		
			locus_tag	LWC14_00227
190193	191317	CDS		
			product	hypothetical protein, conserved
438399	452603	gene		
			locus_tag	LWC14_00228
452603	438399	CDS		
			product	dynein heavy chain, putative
368719	369666	gene		
			locus_tag	LWC14_00229
369666	368719	CDS		
			product	MICOS complex subunit MIC34
96059	96511	gene		
			locus_tag	LWC14_00230
96059	96511	CDS		
			product	hypothetical protein, conserved
391727	392044	gene		
			locus_tag	LWC14_00231
392044	391727	CDS		
			product	hypothetical protein, conserved
306050	314479	gene		
			locus_tag	LWC14_00232
314479	306050	CDS		
			product	phosphatidylinositol 4-kinase, putative
557901	559283	gene		
			locus_tag	LWC14_00233
559283	557901	CDS		
			product	hypothetical protein
345563	358828	gene		
			locus_tag	LWC14_00234
358828	345563	CDS		
			product	Cytoplasmic dynein 2 heavy chain (DYNC2H1), putative
73442	74392	gene		
			locus_tag	LWC14_00235
73442	74392	CDS		
			product	mitochondrial carrier protein 11
549415	550317	gene		
			locus_tag	LWC14_00236
550317	549415	CDS		
			product	hypothetical protein
335458	336108	gene		
			locus_tag	LWC14_00237
336108	335458	CDS		
			product	hypothetical protein, conserved
126791	127234	gene		
			locus_tag	LWC14_00238
126791	127234	CDS		
			product	hypothetical protein, conserved
141084	142115	gene		
			locus_tag	LWC14_00239
141084	142115	CDS		
			product	Histidine phosphatase superfamily (branch 1), putative
263199	263960	gene		
			locus_tag	LWC14_00240
263199	263960	CDS		
			product	Present in the outer mitochondrial membrane proteome 5
205618	207897	gene		
			locus_tag	LWC14_00241
205618	207897	CDS		
			product	polyadenylate-binding protein 1
387970	388947	gene		
			locus_tag	LWC14_00242
388947	387970	CDS		
			product	geranylgeranyl transferase type II beta subunit, putative
363125	366013	gene		
			locus_tag	LWC14_00243
366013	363125	CDS		
			product	PQQ-like domain/Protein of unknown function (DUF1620), putative
209412	209927	gene		
			locus_tag	LWC14_00244
209412	209927	CDS		
			product	hypothetical protein
77167	77397	gene		
			locus_tag	LWC14_00245
77167	77397	CDS		
			product	small nuclear ribonucleoprotein Sm-F
83077	86658	gene		
			locus_tag	LWC14_00246
83077	86658	CDS		
			product	hypothetical protein
453309	455171	gene		
			locus_tag	LWC14_00247
455171	453309	CDS		
			product	TPR-repeat-containing chaperone protein DNAJ, putative
44134	46221	gene		
			locus_tag	LWC14_00248
44134	46221	CDS		
			product	Component of motile flagella 56
479874	481022	gene		
			locus_tag	LWC14_00249
481022	479874	CDS		
			product	Protein of unknown function (DUF501), putative
138154	139491	gene		
			locus_tag	LWC14_00250
138154	139491	CDS		
			product	Flagellar pocket protein FP45
434253	435350	gene		
			locus_tag	LWC14_00251
435350	434253	CDS		
			product	hypothetical protein
36323	37072	gene		
			locus_tag	LWC14_00252
36323	37072	CDS		
			product	hypothetical protein, conserved
37519	37944	gene		
			locus_tag	LWC14_00253
37519	37944	CDS		
			product	hypothetical protein
181048	183030	gene		
			locus_tag	LWC14_00254
181048	183030	CDS		
			product	zinc finger protein family member, putative
183646	185874	gene		
			locus_tag	LWC14_00255
183646	185874	CDS		
			product	hypothetical protein
274752	275915	gene		
			locus_tag	LWC14_00256
274752	275915	CDS		
			product	isopentenyl-diphosphate delta-isomerase (type II)
276459	277595	gene		
			locus_tag	LWC14_00257
276459	277595	CDS		
			product	Ankyrin repeats (3 copies), putative
